ERROR 2024/08/26 07:52:17 Unable to connect to MongoDB using URL mongodb://localhost:27001/JobSerach?directConnection=true: server selection error: server selection timeout, current topology: { Type: Single, Servers: [{ Addr: localhost:27001, Type: Unknown, Last error: dial tcp [::1]:27001: connect: connection refused }, ] }
ERROR 2024/08/26 07:52:48 Unable to connect to MongoDB using URL mongodb://localhost:27001/JobSerach?directConnection=true: server selection error: server selection timeout, current topology: { Type: Single, Servers: [{ Addr: localhost:27001, Type: Unknown, Last error: dial tcp [::1]:27001: connect: connection refused }, ] }
ERROR 2024/08/26 07:53:18 Unable to connect to MongoDB using URL mongodb://localhost:27001/JobSerach?directConnection=true: server selection error: server selection timeout, current topology: { Type: Single, Servers: [{ Addr: localhost:27001, Type: Unknown, Last error: dial tcp [::1]:27001: connect: connection refused }, ] }
ERROR 2024/08/26 07:53:49 Unable to connect to MongoDB using URL mongodb://localhost:27001/JobSerach?directConnection=true: server selection error: server selection timeout, current topology: { Type: Single, Servers: [{ Addr: localhost:27001, Type: Unknown, Last error: dial tcp [::1]:27001: connect: connection refused }, ] }
ERROR 2024/08/26 07:54:19 Unable to connect to MongoDB using URL mongodb://localhost:27001/JobSerach?directConnection=true: server selection error: server selection timeout, current topology: { Type: Single, Servers: [{ Addr: localhost:27001, Type: Unknown, Last error: dial tcp [::1]:27001: connect: connection refused }, ] }
ERROR 2024/08/26 07:54:50 Unable to connect to MongoDB using URL mongodb://localhost:27001/JobSerach?directConnection=true: server selection error: server selection timeout, current topology: { Type: Single, Servers: [{ Addr: localhost:27001, Type: Unknown, Last error: dial tcp [::1]:27001: connect: connection refused }, ] }
ERROR 2024/08/26 07:55:20 Unable to connect to MongoDB using URL mongodb://localhost:27001/JobSerach?directConnection=true: server selection error: server selection timeout, current topology: { Type: Single, Servers: [{ Addr: localhost:27001, Type: Unknown, Last error: dial tcp [::1]:27001: connect: connection refused }, ] }
ERROR 2024/08/26 07:55:51 Unable to connect to MongoDB using URL mongodb://localhost:27001/JobSerach?directConnection=true: server selection error: server selection timeout, current topology: { Type: Single, Servers: [{ Addr: localhost:27001, Type: Unknown, Last error: dial tcp [::1]:27001: connect: connection refused }, ] }
ERROR 2024/08/26 07:56:21 Unable to connect to MongoDB using URL mongodb://localhost:27001/JobSerach?directConnection=true: server selection error: server selection timeout, current topology: { Type: Single, Servers: [{ Addr: localhost:27001, Type: Unknown, Last error: dial tcp [::1]:27001: connect: connection refused }, ] }
ERROR 2024/08/26 07:56:52 Unable to connect to MongoDB using URL mongodb://localhost:27001/JobSerach?directConnection=true: server selection error: server selection timeout, current topology: { Type: Single, Servers: [{ Addr: localhost:27001, Type: Unknown, Last error: dial tcp [::1]:27001: connect: connection refused }, ] }
ERROR 2024/08/26 07:57:23 Unable to connect to MongoDB using URL mongodb://localhost:27001/JobSerach?directConnection=true: server selection error: server selection timeout, current topology: { Type: Single, Servers: [{ Addr: localhost:27001, Type: Unknown, Last error: dial tcp [::1]:27001: connect: connection refused }, ] }
ERROR 2024/08/26 07:57:53 Unable to connect to MongoDB using URL mongodb://localhost:27001/JobSerach?directConnection=true: server selection error: server selection timeout, current topology: { Type: Single, Servers: [{ Addr: localhost:27001, Type: Unknown, Last error: dial tcp [::1]:27001: connect: connection refused }, ] }
ERROR 2024/08/26 07:58:24 Unable to connect to MongoDB using URL mongodb://localhost:27001/JobSerach?directConnection=true: server selection error: server selection timeout, current topology: { Type: Single, Servers: [{ Addr: localhost:27001, Type: Unknown, Last error: dial tcp [::1]:27001: connect: connection refused }, ] }
ERROR 2024/08/26 07:58:54 Unable to connect to MongoDB using URL mongodb://localhost:27001/JobSerach?directConnection=true: server selection error: server selection timeout, current topology: { Type: Single, Servers: [{ Addr: localhost:27001, Type: Unknown, Last error: dial tcp [::1]:27001: connect: connection refused }, ] }
